participant_id	stim_no	question_no	numberofanswers	answers	correct_answers	score
sub-09	3	6	1	2	1	0
sub-09	3	7	1	2	1	0
sub-09	3	8	3	4	1  2  3	0
sub-09	3	9	1	2	1	0
sub-09	3	10	1	1	1	1
sub-09	3	11	1	1	1	1
sub-09	3	12	1	2	1	0
sub-09	4	1	3	1	1  2  3	0.333333333333333
sub-09	4	2	1	4	1	0
sub-09	4	3	1	1	1	1
sub-09	4	4	1	2	1	0
sub-09	4	5	1	4	1	0
sub-09	4	6	1	1	1	1
sub-09	4	7	2	3	1  2	0
sub-09	4	8	1	2	1	0
sub-09	4	9	1	1	1	1
sub-09	4	10	1	4	1	0
sub-09	4	11	1	2	1	0
sub-09	4	12	1	3	1	0
sub-09	5	1	3	3	1  2  3	0.333333333333333
sub-09	5	2	1	1	1	1
sub-09	5	3	1	4	1	0
sub-09	5	4	1	3	1	0
sub-09	5	5	1	1	1	1
sub-09	5	6	1	1	1	1
sub-09	5	7	2	2  4	1  2	0.5
sub-09	5	8	1	2	1	0
sub-09	5	9	1	1	1	1
sub-09	5	10	1	1	1	1
sub-09	5	11	2	1	1  2	0.5
sub-09	5	12	2	3	1  2	0
sub-09	6	1	1	4	1	0
sub-09	6	2	3	3	1  2  3	0.333333333333333
sub-09	6	3	1	1	1	1
sub-09	6	4	1	2	1	0
sub-09	6	5	1	4	1	0
sub-09	6	6	1	4	1	0
sub-09	6	7	2	4	1  2	0
sub-09	6	8	1	1	1	1
sub-09	6	9	1	2	1	0
sub-09	6	10	1	2	1	0
sub-09	6	11	2	2	1  2	0.5
sub-09	6	12	2	1	1  2	0.5
sub-10	1	1	1	3	1	0
sub-10	1	2	1	1	1	1
sub-10	1	3	3	3  2  1	1  2  3	1
sub-10	1	4	1	1	1	1
sub-10	1	5	1	1	1	1
sub-10	1	6	1	3	1	0
sub-10	1	7	1	2	1	0
sub-10	1	8	1	4	1	0
sub-10	1	9	2	4  1  2	1  2	1
sub-10	1	10	1	1	1	1
sub-10	1	11	3	2  1	1  2  3	0.666666666666667
sub-10	1	12	4	2  4  3	1  2  3  4	0.75
sub-10	2	1	1	1	1	1
sub-10	2	2	3	1	1  2  3	0.333333333333333
sub-10	2	3	1	1	1	1
sub-10	2	4	1	1	1	1
sub-10	2	5	1	1	1	1
sub-10	2	6	1	1	1	1
sub-10	2	7	1	1	1	1
sub-10	2	8	2	3	1  2	0
sub-10	2	9	1	1	1	1
sub-10	2	10	1	1	1	1
sub-10	2	11	1	1	1	1
sub-10	2	12	3	3  2  1	1  2  3	1
sub-10	3	1	1	1	1	1
sub-10	3	2	3	2  3  1	1  2  3	1
sub-10	3	3	1	1	1	1
sub-10	3	4	1	1	1	1
sub-10	3	5	1	1	1	1
sub-10	3	6	1	4	1	0
sub-10	3	7	1	1	1	1
sub-10	3	8	3	1  2	1  2  3	0.666666666666667
sub-10	3	9	1	1	1	1
sub-10	3	10	1	1	1	1
sub-10	3	11	1	3	1	0
sub-10	3	12	1	3	1	0
sub-10	4	1	3	1  3	1  2  3	0.666666666666667
sub-10	4	2	1	1	1	1
sub-10	4	3	1	4	1	0
sub-10	4	4	1	1	1	1
sub-10	4	5	1	1	1	1
sub-10	4	6	1	1	1	1
sub-10	4	7	2	1  3  2	1  2	1
sub-10	4	8	1	4	1	0
sub-10	4	9	1	1	1	1
sub-10	4	10	1	1	1	1
sub-10	4	11	1	1	1	1
sub-10	4	12	1	1	1	1
sub-10	5	1	3	3  2  1	1  2  3	1
sub-10	5	2	1	1	1	1
sub-10	5	3	1	1	1	1
sub-10	5	4	1	2	1	0
sub-10	5	5	1	2	1	0
sub-10	5	6	1	1	1	1
sub-10	5	7	2	2  1	1  2	1
sub-10	5	8	1	3	1	0
sub-10	5	9	1	1	1	1
sub-10	5	10	1	4	1	0
sub-10	5	11	2	1  2	1  2	1
sub-10	5	12	2	2  1	1  2	1
sub-10	6	1	1	1	1	1
sub-10	6	2	3	1  3  2	1  2  3	1
sub-10	6	3	1	1	1	1
sub-10	6	4	1	1	1	1
sub-10	6	5	1	3	1	0
sub-10	6	6	1	1	1	1
sub-10	6	7	2	1  2	1  2	1
sub-10	6	8	1	2	1	0
sub-10	6	9	1	1	1	1
sub-10	6	10	1	3	1	0
sub-10	6	11	2	1  2	1  2	1
sub-10	6	12	2	1  4	1  2	0.5
sub-11	1	1	1	2	1	0
sub-11	1	2	1	1	1	1
sub-11	1	3	3	3  2  1	1  2  3	1
sub-11	1	4	1	1	1	1
sub-11	1	5	1	1	1	1
sub-11	1	6	1	3	1	0
sub-11	1	7	1	2	1	0
sub-11	1	8	1	4	1	0
